Weekday,Month,Day,CM / Block,Topics,Lab,Lab Topic,lab_link
Tues,June,26,1.1: Working with data in R,<a href='slides/cm011.html'>Welcome & Introductions</a><br>(<a href='syllabus.html'>syllabus</a>),1,Paper Discussion,http://bit.ly/conj620-cm011
Thurs,June,28,1.2,<a href='slides/cm012.html'>Intro to Tidyverse</a><br> (<a href='http://bit.ly/conj620-cm012'>notepad</a>)<br> (<a href='https://apreshill.github.io/ohsu-basic-stats/labs/cm012-worksheet.Rmd'>Worksheet</a>)<br><a href='https://apreshill.github.io/ohsu-basic-stats/cm012-solutions.html'>- Solutions</a>,2,Tidyverse Basics,labs/cm012-worksheet.html
Tues,July,3,1.3,Data viz / Exploratory Data Analysis,3,Data viz,
Thurs,July,5,1.4,Data wrangling / more EDA,4,Data taming & wrangling,
Tues,July,10,1.5,Data tables / Tidy data,5,Data tidying,
Thurs,July,12,1.6,Concept integration<br><a href='https://andrewbtran.github.io/NICAR/2018/workflow/docs/01-workflow_intro.html'>- File organization best practices</a><br><a href='https://www.tidyverse.org/articles/2017/12/workflow-vs-script/'>- Project-oriented workflow</a>,6,EDA: integrate + iterate,
Tues,July,17,2.1: Linear models,Simple Regression (one continuous predictor),,,-
Thurs,July,19,2.2,Simple Regression (one categorical predictor),,,-
Tues,July,24,2.3,Multiple Regression (2 continuous predictors),,,-
Thurs,July,26,2.4,Multiple Regression (continuous + categorical),,,-
Tues,July,31,2.5,Residuals / Diagnostics / Outliers,,,-
Thurs,August,2,2.6,Concept integration,,Regression: integrate + iterate,
Tues,August,7,3.1: Inference,Sampling,,,-
Thurs,August,9,3.2,Confidence Intervals,,,-
Tues,August,14,3.3,Hypothesis Testing<br><a href='https://github.com/Lakens/perfect-t-test/blob/master/perfect_independent_t-test.Rmd'>- Perfect 2-sample t-test</a>,,,-
Thurs,August,16,3.4,Hypothesis Testing<br><a href='https://github.com/Lakens/perfect-t-test/blob/master/Perfect_dependent_t-test.Rmd'>- Perfect paired t-test</a>,,,-
Tues,August,21,3.5,Hypothesis Testing,,,-
Thurs,August,23,3.6,Concept integration,,Inference: integrate + iterate,
Tues,August,28,4.1: Mixed models,,,,-
Thurs,August,30,4.2,,,,-
Tues,September,4,4.3,,,,-
Thurs,September,6,5.1: Wrap-up,Concept integration,,Integrate + iterate,
Tues,September,11,5.2: Final presentations,,,,-
Thurs,September,13,5.3: Final presentations,,,,-
